year,week,labor_hours
2017,1,38.072093248841625
2017,2,38.072093248841625
2017,3,38.072093248841625
2017,4,38.072093248841625
2017,5,38.072093248841625
2017,6,38.072093248841625
2017,7,38.072093248841625
2017,8,38.072093248841625
2017,9,38.072093248841625
2017,10,38.072093248841625
2017,11,38.072093248841625
2017,12,38.072093248841625
2017,13,38.072093248841625
2017,14,38.072093248841625
2017,15,38.072093248841625
2017,16,282.01550554697496
2017,17,282.01550554697496
2017,18,282.01550554697496
2017,19,282.01550554697496
2017,20,282.01550554697496
2017,21,38.072093248841625
2017,22,38.072093248841625
2017,23,38.072093248841625
2017,24,38.072093248841625
2017,25,38.072093248841625
2017,26,38.072093248841625
2017,27,38.072093248841625
2017,28,38.072093248841625
2017,29,38.072093248841625
2017,30,38.072093248841625
2017,31,38.072093248841625
2017,32,38.072093248841625
2017,33,38.072093248841625
2017,34,38.072093248841625
2017,35,38.072093248841625
2017,36,423.02325832046245
2017,37,423.02325832046245
2017,38,423.02325832046245
2017,39,423.02325832046245
2017,40,423.02325832046245
2017,41,423.02325832046245
2017,42,423.02325832046245
2017,43,423.02325832046245
2017,44,423.02325832046245
2017,45,423.02325832046245
2017,46,38.072093248841625
2017,47,38.072093248841625
2017,48,38.072093248841625
2017,49,38.072093248841625
2017,50,38.072093248841625
2017,51,38.072093248841625
2017,52,38.072093248841625
2018,1,38.072093248841625
2018,2,38.072093248841625
2018,3,38.072093248841625
2018,4,38.072093248841625
2018,5,38.072093248841625
2018,6,38.072093248841625
2018,7,38.072093248841625
2018,8,38.072093248841625
2018,9,38.072093248841625
2018,10,38.072093248841625
2018,11,38.072093248841625
2018,12,38.072093248841625
2018,13,38.072093248841625
2018,14,38.072093248841625
2018,15,38.072093248841625
2018,16,282.01550554697496
2018,17,282.01550554697496
2018,18,282.01550554697496
2018,19,282.01550554697496
2018,20,282.01550554697496
2018,21,38.072093248841625
2018,22,38.072093248841625
2018,23,38.072093248841625
2018,24,38.072093248841625
2018,25,38.072093248841625
2018,26,38.072093248841625
2018,27,38.072093248841625
2018,28,38.072093248841625
2018,29,38.072093248841625
2018,30,38.072093248841625
2018,31,38.072093248841625
2018,32,38.072093248841625
2018,33,38.072093248841625
2018,34,38.072093248841625
2018,35,38.072093248841625
2018,36,423.02325832046245
2018,37,423.02325832046245
2018,38,423.02325832046245
2018,39,423.02325832046245
2018,40,423.02325832046245
2018,41,423.02325832046245
2018,42,423.02325832046245
2018,43,423.02325832046245
2018,44,423.02325832046245
2018,45,423.02325832046245
2018,46,38.072093248841625
2018,47,38.072093248841625
2018,48,38.072093248841625
2018,49,38.072093248841625
2018,50,38.072093248841625
2018,51,38.072093248841625
2018,52,38.072093248841625
2019,1,38.072093248841625
2019,2,38.072093248841625
2019,3,38.072093248841625
2019,4,38.072093248841625
2019,5,38.072093248841625
2019,6,38.072093248841625
2019,7,38.072093248841625
2019,8,38.072093248841625
2019,9,38.072093248841625
2019,10,38.072093248841625
2019,11,38.072093248841625
2019,12,38.072093248841625
2019,13,38.072093248841625
2019,14,38.072093248841625
2019,15,38.072093248841625
2019,16,282.01550554697496
2019,17,282.01550554697496
2019,18,282.01550554697496
2019,19,282.01550554697496
2019,20,282.01550554697496
2019,21,38.072093248841625
2019,22,38.072093248841625
2019,23,38.072093248841625
2019,24,38.072093248841625
2019,25,38.072093248841625
2019,26,38.072093248841625
2019,27,38.072093248841625
2019,28,38.072093248841625
2019,29,38.072093248841625
2019,30,38.072093248841625
2019,31,38.072093248841625
2019,32,38.072093248841625
2019,33,38.072093248841625
2019,34,38.072093248841625
2019,35,38.072093248841625
2019,36,423.02325832046245
2019,37,423.02325832046245
2019,38,423.02325832046245
2019,39,423.02325832046245
2019,40,423.02325832046245
2019,41,423.02325832046245
2019,42,423.02325832046245
2019,43,423.02325832046245
2019,44,423.02325832046245
2019,45,423.02325832046245
2019,46,38.072093248841625
2019,47,38.072093248841625
2019,48,38.072093248841625
2019,49,38.072093248841625
2019,50,38.072093248841625
2019,51,38.072093248841625
2019,52,38.072093248841625
2020,1,38.072093248841625
2020,2,38.072093248841625
2020,3,38.072093248841625
2020,4,38.072093248841625
2020,5,38.072093248841625
2020,6,38.072093248841625
2020,7,38.072093248841625
2020,8,38.072093248841625
2020,9,38.072093248841625
2020,10,38.072093248841625
2020,11,38.072093248841625
2020,12,38.072093248841625
2020,13,38.072093248841625
2020,14,38.072093248841625
2020,15,38.072093248841625
2020,16,282.01550554697496
2020,17,282.01550554697496
2020,18,282.01550554697496
2020,19,282.01550554697496
2020,20,282.01550554697496
2020,21,38.072093248841625
2020,22,38.072093248841625
2020,23,38.072093248841625
2020,24,38.072093248841625
2020,25,38.072093248841625
2020,26,38.072093248841625
2020,27,38.072093248841625
2020,28,38.072093248841625
2020,29,38.072093248841625
2020,30,38.072093248841625
2020,31,38.072093248841625
2020,32,38.072093248841625
2020,33,38.072093248841625
2020,34,38.072093248841625
2020,35,38.072093248841625
2020,36,423.02325832046245
2020,37,423.02325832046245
2020,38,423.02325832046245
2020,39,423.02325832046245
2020,40,423.02325832046245
2020,41,423.02325832046245
2020,42,423.02325832046245
2020,43,423.02325832046245
2020,44,423.02325832046245
2020,45,423.02325832046245
2020,46,38.072093248841625
2020,47,38.072093248841625
2020,48,38.072093248841625
2020,49,38.072093248841625
2020,50,38.072093248841625
2020,51,38.072093248841625
2020,52,38.072093248841625
2021,1,38.072093248841625
2021,2,38.072093248841625
2021,3,38.072093248841625
2021,4,38.072093248841625
2021,5,38.072093248841625
2021,6,38.072093248841625
2021,7,38.072093248841625
2021,8,38.072093248841625
2021,9,38.072093248841625
2021,10,38.072093248841625
2021,11,38.072093248841625
2021,12,38.072093248841625
2021,13,38.072093248841625
2021,14,38.072093248841625
2021,15,38.072093248841625
2021,16,282.01550554697496
2021,17,282.01550554697496
2021,18,282.01550554697496
2021,19,282.01550554697496
2021,20,282.01550554697496
2021,21,38.072093248841625
2021,22,38.072093248841625
2021,23,38.072093248841625
2021,24,38.072093248841625
2021,25,38.072093248841625
2021,26,38.072093248841625
2021,27,38.072093248841625
2021,28,38.072093248841625
2021,29,38.072093248841625
2021,30,38.072093248841625
2021,31,38.072093248841625
2021,32,38.072093248841625
2021,33,38.072093248841625
2021,34,38.072093248841625
2021,35,38.072093248841625
2021,36,423.02325832046245
2021,37,423.02325832046245
2021,38,423.02325832046245
2021,39,423.02325832046245
2021,40,423.02325832046245
2021,41,423.02325832046245
2021,42,423.02325832046245
2021,43,423.02325832046245
2021,44,423.02325832046245
2021,45,423.02325832046245
2021,46,38.072093248841625
2021,47,38.072093248841625
2021,48,38.072093248841625
2021,49,38.072093248841625
2021,50,38.072093248841625
2021,51,38.072093248841625
2021,52,38.072093248841625
2022,1,38.072093248841625
2022,2,38.072093248841625
2022,3,38.072093248841625
2022,4,38.072093248841625
2022,5,38.072093248841625
2022,6,38.072093248841625
2022,7,38.072093248841625
2022,8,38.072093248841625
2022,9,38.072093248841625
2022,10,38.072093248841625
2022,11,38.072093248841625
2022,12,38.072093248841625
2022,13,38.072093248841625
2022,14,38.072093248841625
2022,15,38.072093248841625
2022,16,282.01550554697496
2022,17,282.01550554697496
2022,18,282.01550554697496
2022,19,282.01550554697496
2022,20,282.01550554697496
2022,21,38.072093248841625
2022,22,38.072093248841625
2022,23,38.072093248841625
2022,24,38.072093248841625
2022,25,38.072093248841625
2022,26,38.072093248841625
2022,27,38.072093248841625
2022,28,38.072093248841625
2022,29,38.072093248841625
2022,30,38.072093248841625
2022,31,38.072093248841625
2022,32,38.072093248841625
2022,33,38.072093248841625
2022,34,38.072093248841625
2022,35,38.072093248841625
2022,36,423.02325832046245
2022,37,423.02325832046245
2022,38,423.02325832046245
2022,39,423.02325832046245
2022,40,423.02325832046245
2022,41,423.02325832046245
2022,42,423.02325832046245
2022,43,423.02325832046245
2022,44,423.02325832046245
2022,45,423.02325832046245
2022,46,38.072093248841625
2022,47,38.072093248841625
2022,48,38.072093248841625
2022,49,38.072093248841625
2022,50,38.072093248841625
2022,51,38.072093248841625
2022,52,38.072093248841625
2023,1,38.072093248841625
2023,2,38.072093248841625
2023,3,38.072093248841625
2023,4,38.072093248841625
2023,5,38.072093248841625
2023,6,38.072093248841625
2023,7,38.072093248841625
2023,8,38.072093248841625
2023,9,38.072093248841625
2023,10,38.072093248841625
2023,11,38.072093248841625
2023,12,38.072093248841625
2023,13,38.072093248841625
2023,14,38.072093248841625
2023,15,38.072093248841625
2023,16,282.01550554697496
2023,17,282.01550554697496
2023,18,282.01550554697496
2023,19,282.01550554697496
2023,20,282.01550554697496
2023,21,38.072093248841625
2023,22,38.072093248841625
2023,23,38.072093248841625
2023,24,38.072093248841625
2023,25,38.072093248841625
2023,26,38.072093248841625
2023,27,38.072093248841625
2023,28,38.072093248841625
2023,29,38.072093248841625
2023,30,38.072093248841625
2023,31,38.072093248841625
2023,32,38.072093248841625
2023,33,38.072093248841625
2023,34,38.072093248841625
2023,35,38.072093248841625
2023,36,423.02325832046245
2023,37,423.02325832046245
2023,38,423.02325832046245
2023,39,423.02325832046245
2023,40,423.02325832046245
2023,41,423.02325832046245
2023,42,423.02325832046245
2023,43,423.02325832046245
2023,44,423.02325832046245
2023,45,423.02325832046245
2023,46,38.072093248841625
2023,47,38.072093248841625
2023,48,38.072093248841625
2023,49,38.072093248841625
2023,50,38.072093248841625
2023,51,38.072093248841625
2023,52,38.072093248841625
2024,1,38.072093248841625
2024,2,38.072093248841625
2024,3,38.072093248841625
2024,4,38.072093248841625
2024,5,38.072093248841625
2024,6,38.072093248841625
2024,7,38.072093248841625
2024,8,38.072093248841625
2024,9,38.072093248841625
2024,10,38.072093248841625
2024,11,38.072093248841625
2024,12,38.072093248841625
2024,13,38.072093248841625
2024,14,38.072093248841625
2024,15,38.072093248841625
2024,16,282.01550554697496
2024,17,282.01550554697496
2024,18,282.01550554697496
2024,19,282.01550554697496
2024,20,282.01550554697496
2024,21,38.072093248841625
2024,22,38.072093248841625
2024,23,38.072093248841625
2024,24,38.072093248841625
2024,25,38.072093248841625
2024,26,38.072093248841625
2024,27,38.072093248841625
2024,28,38.072093248841625
2024,29,38.072093248841625
2024,30,38.072093248841625
2024,31,38.072093248841625
2024,32,38.072093248841625
2024,33,38.072093248841625
2024,34,38.072093248841625
2024,35,38.072093248841625
2024,36,423.02325832046245
2024,37,423.02325832046245
2024,38,423.02325832046245
2024,39,423.02325832046245
2024,40,423.02325832046245
2024,41,423.02325832046245
2024,42,423.02325832046245
2024,43,423.02325832046245
2024,44,423.02325832046245
2024,45,423.02325832046245
2024,46,38.072093248841625
2024,47,38.072093248841625
2024,48,38.072093248841625
2024,49,38.072093248841625
2024,50,38.072093248841625
2024,51,38.072093248841625
2024,52,38.072093248841625
